state,state/region,ages,year,population,area (sq. mi)
Puerto Rico,PR,total,2007,3782995,3515
Puerto Rico,PR,under18,2007,973613,3515
Puerto Rico,PR,total,2008,3760866,3515
Puerto Rico,PR,under18,2008,945705,3515
Puerto Rico,PR,under18,2013,814068,3515
Puerto Rico,PR,total,2013,3615086,3515
Puerto Rico,PR,total,2009,3740410,3515
Puerto Rico,PR,under18,2009,920794,3515
Puerto Rico,PR,total,2010,3721208,3515
Puerto Rico,PR,under18,2010,896945,3515
Puerto Rico,PR,under18,2011,869327,3515
Puerto Rico,PR,total,2011,3686580,3515
Puerto Rico,PR,under18,2012,841740,3515
Puerto Rico,PR,total,2012,3651545,3515
USA,USA,under18,1990,64218512,3790399
USA,USA,total,1990,249622814,3790399
USA,USA,total,1991,252980942,3790399
USA,USA,under18,1991,65313018,3790399
USA,USA,under18,1992,66509177,3790399
USA,USA,total,1992,256514231,3790399
USA,USA,total,1993,259918595,3790399
USA,USA,under18,1993,67594938,3790399
USA,USA,under18,1994,68640936,3790399
USA,USA,total,1994,263125826,3790399
USA,USA,under18,1995,69473140,3790399
USA,USA,under18,1996,70233512,3790399
USA,USA,total,1995,266278403,3790399
USA,USA,total,1996,269394291,3790399
USA,USA,total,1997,272646932,3790399
USA,USA,under18,1997,70920738,3790399
USA,USA,under18,1998,71431406,3790399
USA,USA,total,1998,275854116,3790399
USA,USA,under18,1999,71946051,3790399
USA,USA,total,2000,282162411,3790399
USA,USA,under18,2000,72376189,3790399
USA,USA,total,1999,279040181,3790399
USA,USA,total,2001,284968955,3790399
USA,USA,under18,2001,72671175,3790399
USA,USA,total,2002,287625193,3790399
USA,USA,under18,2002,72936457,3790399
USA,USA,total,2003,290107933,3790399
USA,USA,under18,2003,73100758,3790399
USA,USA,total,2004,292805298,3790399
USA,USA,under18,2004,73297735,3790399
USA,USA,total,2005,295516599,3790399
USA,USA,under18,2005,73523669,3790399
USA,USA,total,2006,298379912,3790399
USA,USA,under18,2006,73757714,3790399
USA,USA,total,2007,301231207,3790399
USA,USA,under18,2007,74019405,3790399
USA,USA,total,2008,304093966,3790399
USA,USA,under18,2008,74104602,3790399
USA,USA,under18,2013,73585872,3790399
USA,USA,total,2013,316128839,3790399
USA,USA,total,2009,306771529,3790399
USA,USA,under18,2009,74134167,3790399
USA,USA,under18,2010,74119556,3790399
USA,USA,total,2010,309326295,3790399
USA,USA,under18,2011,73902222,3790399
USA,USA,total,2011,311582564,3790399
USA,USA,under18,2012,73708179,3790399
USA,USA,total,2012,313873685,3790399
